,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Alexandre’s Bar,0.0,12.517,10.606,10.15,7.783,4.372,12.112,11.188,14.485,9.113,5.356,4.916,5.471,16.286,24.465,13.425,16.59,9.557,15.704,15.764,3.411,14.649,11.674,16.852,19.956,12.869,12.155,11.125,3.689,2.731,9.032,13.342,15.335,3.701,9.453,11.027,11.173,21.953,10.599,3.757,11.111,5.027,4.349,3.965,9.161,9.161,10.024,14.923,11.451,9.041,10.664,17.786,4.545,18.074,15.212,4.547,12.155,7.871,7.764,9.161,15.965,4.034,12.869,19.956,9.047,21.699,0.999,2.791,14.529,23.304,9.032,8.926,11.027,4.349,9.596,10.202,1.35,21.25,9.557,7.783,14.477,10.756,10.606,8.736,11.236,4.275,4.275,11.396,13.342,2.791,12.112,15.704,7.783,12.112,12.155,2.791,9.982,19.543,10.202,3.689,6.097,10.606,4.034,11.451,9.474,17.786,10.078,10.606,3.491,11.674,10.202,8.736,9.113,13.2,13.2,9.557,9.474,5.356,16.286,9.474,13.425,8.736,3.878,8.645
Amarelim do Prado,12.517,0.0,2.325,3.875,15.846,15.047,4.128,4.18,9.543,7.795,16.031,15.591,16.147,10.898,15.367,9.816,8.817,9.998,6.544,6.628,14.086,9.708,5.642,5.45,12.183,5.04,1.24,1.737,14.44,13.406,3.08,10.663,6.211,10.127,3.52,7.481,9.134,7.427,2.865,10.182,8.423,15.702,15.024,14.64,3.81,3.81,6.84,1.507,8.763,10.389,1.504,12.398,15.221,12.686,5.961,13.516,1.24,9.528,13.121,3.81,21.086,14.709,5.04,12.183,3.427,7.173,10.9,11.743,2.154,14.207,3.08,3.575,7.481,15.024,6.117,6.857,10.313,12.502,9.998,15.846,11.789,4.299,2.325,11.98,8.548,14.95,14.95,4.156,10.663,11.743,4.128,6.544,15.846,4.128,1.24,11.743,6.467,11.769,6.857,14.44,18.315,2.325,14.709,8.763,2.556,12.398,6.599,2.325,14.167,5.642,6.857,11.98,7.795,6.158,6.158,9.998,2.556,16.031,10.898,2.556,9.816,11.98,13.124,13.655
Andrade’s Beer,10.606,2.325,0.0,1.781,14.956,13.141,2.622,2.466,11.118,5.888,14.125,13.685,14.24,12.473,17.459,11.39,10.909,8.092,8.636,8.721,12.18,11.283,3.317,7.542,14.275,3.534,3.083,1.849,12.533,11.5,1.095,12.238,8.303,8.22,1.195,9.245,9.391,13.298,0.999,8.276,8.68,13.796,13.118,12.734,1.485,1.485,4.934,3.625,9.02,8.482,1.745,13.973,13.314,14.261,8.053,11.61,3.083,7.622,12.231,1.485,19.18,12.803,3.534,14.275,0.978,13.044,8.993,10.575,5.57,16.299,1.095,1.25,9.245,13.118,4.21,4.951,8.406,14.594,8.092,14.956,12.046,2.2,0.0,13.203,8.805,13.044,13.044,2.062,12.238,10.575,2.622,8.636,14.956,2.622,3.083,10.575,4.56,13.861,4.951,12.533,16.408,0.0,12.803,9.02,0.231,13.973,4.692,0.0,12.26,3.317,4.951,13.203,5.888,7.733,7.733,8.092,0.231,14.125,12.473,0.231,11.39,13.203,9.926,12.766
Arcos Bar,10.15,3.875,1.781,0.0,17.429,14.018,2.095,1.299,13.836,5.328,15.002,14.562,15.118,15.19,22.144,14.108,18.225,7.555,10.167,16.466,13.058,14.0,2.712,11.84,17.796,2.98,4.614,3.273,13.469,12.378,4.133,14.955,16.946,9.098,1.846,14.842,14.987,12.571,2.422,9.154,14.917,14.674,13.996,13.611,2.946,2.946,3.899,5.282,15.257,7.946,3.276,16.69,14.192,16.979,9.584,12.545,4.614,7.085,16.07,2.946,20.115,13.68,2.98,17.796,2.887,12.317,9.871,10.714,7.101,20.983,4.133,2.711,14.842,13.996,3.176,3.916,9.284,18.929,7.555,17.429,18.283,0.867,3.041,17.042,15.042,13.921,13.921,1.2,14.955,10.714,2.095,10.167,17.429,2.095,4.614,10.714,3.526,17.383,3.916,13.469,17.344,3.041,13.68,15.257,2.769,16.69,3.514,3.041,13.138,2.712,3.916,17.042,5.328,10.451,10.451,7.555,2.769,15.002,15.19,2.769,14.108,17.042,11.801,16.604
Armazém Santa Amélia,7.783,15.846,14.956,17.429,0.0,5.368,18.376,17.452,12.257,18.477,6.467,4.382,6.802,19.472,25.839,14.799,17.964,18.638,17.078,17.138,7.772,12.094,17.939,18.227,21.33,19.133,14.846,17.389,8.05,7.348,15.297,11.158,16.709,9.966,15.718,12.401,12.547,23.327,15.981,10.021,8.603,3.086,3.895,8.781,15.425,15.425,17.115,16.445,8.66,18.122,16.928,17.966,8.986,17.789,16.586,8.908,14.846,17.235,3.813,15.425,25.046,6.326,19.133,21.33,15.311,23.073,9.049,9.055,16.051,24.678,15.297,15.191,12.401,3.895,16.391,17.132,8.462,22.624,18.638,0.0,9.811,17.02,14.983,5.638,9.183,3.969,3.969,17.66,11.158,9.055,18.376,17.078,0.0,18.376,14.846,9.055,16.741,20.917,17.132,8.05,6.835,14.983,6.326,8.66,15.189,17.966,16.873,14.983,4.403,17.939,17.132,5.638,18.477,14.574,14.574,18.638,15.189,6.467,19.472,15.189,14.799,5.638,8.443,3.232
Avalanche Espeteria,4.372,15.047,13.141,14.018,5.368,0.0,14.784,13.86,17.157,13.938,2.769,1.649,3.057,18.958,27.137,16.097,19.262,15.045,18.376,18.436,3.29,17.321,14.347,19.525,22.628,15.541,14.827,13.797,4.071,2.464,11.704,16.014,18.007,6.373,12.126,13.699,13.845,24.625,13.271,6.429,10.014,3.081,1.579,4.927,11.833,11.833,13.523,17.595,14.123,14.53,13.336,20.458,3.546,20.746,17.884,4.93,14.827,12.696,7.555,11.833,21.453,1.62,15.541,22.628,11.719,24.371,5.457,5.463,17.201,25.976,11.704,11.598,13.699,1.579,12.799,13.54,4.87,23.922,15.045,5.314,13.553,13.428,13.278,9.38,13.908,1.654,1.654,14.068,16.014,5.463,14.784,18.376,5.314,14.784,14.827,5.463,13.149,22.215,13.54,4.071,3.123,13.278,1.62,14.123,12.146,20.458,13.281,13.278,2.177,14.347,13.54,9.38,13.938,15.872,15.872,15.045,12.146,2.769,18.958,12.146,16.097,9.38,6.265,6.593
Azougue Fogo e Bar,12.112,4.128,2.622,2.095,18.376,14.784,0.0,1.311,20.786,7.197,17.064,16.624,17.179,19.468,20.593,19.934,16.674,10.405,16.522,14.915,15.119,20.95,4.317,17.4,16.245,0.867,5.035,3.942,15.53,14.439,4.198,21.905,15.395,11.16,2.963,12.348,12.494,11.02,3.336,11.215,11.783,16.735,16.057,15.673,4.216,4.216,6.577,4.768,12.123,10.796,4.334,21.08,16.253,20.501,16.029,14.607,5.035,9.671,15.334,4.216,22.177,15.742,0.867,16.245,4.019,10.766,11.932,12.776,10.078,19.432,4.198,3.982,12.348,16.057,5.238,6.044,11.346,17.377,10.405,18.059,24.406,1.606,3.674,16.306,11.908,15.983,15.983,2.317,21.905,12.776,0.0,16.522,18.059,0.0,5.035,12.776,5.587,15.831,6.044,15.53,19.405,3.674,15.742,12.123,3.402,21.08,5.523,3.674,15.2,4.317,6.044,16.306,7.197,9.122,9.122,10.405,3.402,17.064,19.468,3.402,19.934,16.306,13.03,15.869
Baiuca,11.188,4.18,2.466,1.299,17.452,13.86,1.311,0.0,21.038,6.865,16.321,15.881,16.436,19.72,20.845,20.186,16.927,10.613,16.774,15.168,14.376,21.203,3.984,17.652,16.498,1.991,4.453,3.36,15.055,13.696,3.617,22.158,15.648,10.416,2.756,11.767,11.912,11.273,2.755,10.472,11.202,15.992,15.314,14.93,3.635,3.635,6.244,4.186,11.541,11.004,3.752,21.333,15.51,20.754,16.282,14.131,4.453,9.339,14.752,3.635,21.701,14.999,1.991,16.498,3.438,11.019,11.189,12.033,6.436,19.685,3.617,3.4,11.767,15.314,4.906,5.712,10.602,17.63,10.613,17.478,14.567,1.399,3.092,15.725,11.327,15.24,15.24,2.11,22.158,12.033,1.05,16.774,17.478,1.05,4.453,12.033,5.255,16.084,5.712,15.055,18.93,3.092,14.999,11.541,2.82,21.333,5.191,3.092,14.456,3.984,5.712,15.725,6.865,8.541,8.541,10.613,2.82,16.321,19.72,2.82,20.186,15.725,12.448,15.287
Bar Bambú,14.485,9.543,11.118,13.836,12.257,17.157,20.786,21.038,0.0,19.584,20.167,19.727,20.283,5.28,15.777,4.711,7.903,19.744,7.017,7.077,18.223,0.643,14.545,8.165,11.269,23.565,8.709,10.885,19.739,17.543,10.981,1.188,6.648,14.263,17.12,4.33,4.988,13.265,12.371,14.319,6.457,13.932,14.959,18.776,12.113,12.113,14.726,10.308,4.475,19.228,11.155,5.407,19.357,5.23,6.524,18.816,8.709,18.342,9.456,12.113,26.152,18.845,23.565,11.269,11.327,13.011,15.036,14.999,9.914,14.617,10.981,11.878,4.33,14.959,14.003,14.743,14.449,12.562,19.744,12.181,3.639,13.572,11.373,6.786,3.511,15.457,15.457,13.435,1.188,14.999,13.276,7.017,12.181,13.276,8.709,14.999,14.353,10.855,14.743,19.739,23.614,11.373,18.845,4.475,11.579,5.407,14.485,11.373,18.303,14.545,14.743,6.786,19.584,4.289,4.289,19.744,11.579,20.167,5.28,11.579,4.711,6.786,14.35,9.99
Bar Bendita Baderna,9.113,7.795,5.888,5.328,18.477,13.938,7.197,6.865,19.584,0.0,13.067,16.365,13.266,17.251,29.171,18.131,21.297,4.364,15.35,15.434,11.156,16.061,3.194,13.901,24.663,8.028,9.431,8.4,9.787,11.132,7.092,17.016,15.017,9.656,6.825,15.733,15.879,18.597,8.534,9.712,15.809,15.843,15.165,14.781,6.375,6.375,1.787,12.198,16.149,4.754,7.939,18.751,10.7,19.04,14.767,8.864,9.431,3.894,16.961,6.375,14.918,13.812,8.028,24.663,6.91,18.343,10.032,11.07,11.804,28.011,7.092,6.14,15.733,15.165,1.934,1.85,10.453,25.956,4.364,18.599,19.175,6.434,7.881,17.934,15.934,15.091,15.091,5.769,17.016,11.07,7.265,15.35,18.599,7.265,9.431,11.07,1.703,24.249,1.85,9.787,13.662,7.881,13.812,16.149,8.088,18.751,2.82,7.881,14.308,3.194,1.85,17.934,0.0,12.512,12.512,4.364,8.088,13.067,17.251,8.088,18.131,17.934,12.157,17.496
