,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Alexandre’s Bar,0.0,41.72,35.35,33.83,25.94,14.57,40.37,37.29,48.28,30.38,17.85,16.39,18.24,54.29,81.55,44.75,55.3,31.86,52.35,52.55,11.37,48.83,38.91,56.17,66.52,42.9,40.52,37.08,12.3,9.1,30.11,44.47,51.12,12.34,31.51,36.76,37.24,73.18,35.33,12.52,37.04,16.76,14.5,13.22,30.54,30.54,33.41,49.74,38.17,30.14,35.55,59.29,15.15,60.25,50.71,15.16,40.52,26.24,25.88,30.54,53.22,13.45,42.9,66.52,30.16,72.33,3.33,9.3,48.43,77.68,30.11,29.75,36.76,14.5,31.99,34.01,4.5,70.83,31.86,25.94,48.26,35.85,35.35,29.12,37.45,14.25,14.25,37.99,44.47,9.3,40.37,52.35,25.94,40.37,40.52,9.3,33.27,65.14,34.01,12.3,20.32,35.35,13.45,38.17,31.58,59.29,33.59,35.35,11.64,38.91,34.01,29.12,30.38,44.0,44.0,31.86,31.58,17.85,54.29,31.58,44.75,29.12,12.93,28.82
Amarelim do Prado,41.72,0.0,7.75,12.92,52.82,50.16,13.76,13.93,31.81,25.98,53.44,51.97,53.82,36.33,51.22,32.72,29.39,33.33,21.81,22.09,46.95,32.36,18.81,18.17,40.61,16.8,4.13,5.79,48.13,44.69,10.27,35.54,20.7,33.76,11.73,24.94,30.45,24.76,9.55,33.94,28.08,52.34,50.08,48.8,12.7,12.7,22.8,5.02,29.21,34.63,5.01,41.33,50.74,42.29,19.87,45.05,4.13,31.76,43.74,12.7,70.29,49.03,16.8,40.61,11.42,23.91,36.33,39.14,7.18,47.36,10.27,11.92,24.94,50.08,20.39,22.86,34.38,41.67,33.33,52.82,39.3,14.33,7.75,39.93,28.49,49.83,49.83,13.85,35.54,39.14,13.76,21.81,52.82,13.76,4.13,39.14,21.56,39.23,22.86,48.13,61.05,7.75,49.03,29.21,8.52,41.33,22.0,7.75,47.22,18.81,22.86,39.93,25.98,20.53,20.53,33.33,8.52,53.44,36.33,8.52,32.72,39.93,43.75,45.52
Andrade’s Beer,35.35,7.75,0.0,5.94,49.85,43.8,8.74,8.22,37.06,19.63,47.08,45.62,47.47,41.58,58.2,37.97,36.36,26.97,28.79,29.07,40.6,37.61,11.06,25.14,47.58,11.78,10.28,6.16,41.78,38.33,3.65,40.79,27.68,27.4,3.98,30.82,31.3,44.33,3.33,27.59,28.93,45.99,43.73,42.45,4.95,4.95,16.45,12.08,30.07,28.27,5.82,46.58,44.38,47.54,26.84,38.7,10.28,25.41,40.77,4.95,63.93,42.68,11.78,47.58,3.26,43.48,29.98,35.25,18.57,54.33,3.65,4.17,30.82,43.73,14.03,16.5,28.02,48.65,26.97,49.85,40.15,7.33,0.0,44.01,29.35,43.48,43.48,6.87,40.79,35.25,8.74,28.79,49.85,8.74,10.28,35.25,15.2,46.2,16.5,41.78,54.69,0.0,42.68,30.07,0.77,46.58,15.64,0.0,40.87,11.06,16.5,44.01,19.63,25.78,25.78,26.97,0.77,47.08,41.58,0.77,37.97,44.01,33.09,42.55
Arcos Bar,33.83,12.92,5.94,0.0,58.1,46.73,6.98,4.33,46.12,17.76,50.01,48.54,50.39,50.63,73.81,47.03,60.75,25.18,33.89,54.89,43.53,46.67,9.04,39.47,59.32,9.93,15.38,10.91,44.9,41.26,13.78,49.85,56.49,30.33,6.15,49.47,49.96,41.9,8.07,30.51,49.72,48.91,46.65,45.37,9.82,9.82,13.0,17.61,50.86,26.49,10.92,55.63,47.31,56.6,31.95,41.82,15.38,23.62,53.57,9.82,67.05,45.6,9.93,59.32,9.62,41.06,32.9,35.71,23.67,69.94,13.78,9.04,49.47,46.65,10.59,13.05,30.95,63.1,25.18,58.1,60.94,2.89,10.14,56.81,50.14,46.4,46.4,4.0,49.85,35.71,6.98,33.89,58.1,6.98,15.38,35.71,11.75,57.94,13.05,44.9,57.81,10.14,45.6,50.86,9.23,55.63,11.71,10.14,43.79,9.04,13.05,56.81,17.76,34.84,34.84,25.18,9.23,50.01,50.63,9.23,47.03,56.81,39.34,55.35
Armazém Santa Amélia,25.94,52.82,49.85,58.1,0.0,17.89,61.25,58.17,40.86,61.59,21.56,14.61,22.67,64.91,86.13,49.33,59.88,62.13,56.93,57.13,25.91,40.31,59.8,60.76,71.1,63.78,49.49,57.96,26.83,24.49,50.99,37.19,55.7,33.22,52.39,41.34,41.82,77.76,53.27,33.4,28.68,10.29,12.98,29.27,51.42,51.42,57.05,54.82,28.87,60.41,56.43,59.89,29.95,59.3,55.29,29.69,49.49,57.45,12.71,51.42,83.49,21.09,63.78,71.1,51.04,76.91,30.16,30.18,53.5,82.26,50.99,50.64,41.34,12.98,54.64,57.11,28.21,75.41,62.13,0.0,32.7,56.73,49.94,18.79,30.61,13.23,13.23,58.87,37.19,30.18,61.25,56.93,0.0,61.25,49.49,30.18,55.8,69.72,57.11,26.83,22.78,49.94,21.09,28.87,50.63,59.89,56.24,49.94,14.68,59.8,57.11,18.79,61.59,48.58,48.58,62.13,50.63,21.56,64.91,50.63,49.33,18.79,28.14,10.77
Avalanche Espeteria,14.57,50.16,43.8,46.73,17.89,0.0,49.28,46.2,57.19,46.46,9.23,5.5,10.19,63.19,90.46,53.66,64.21,50.15,61.25,61.45,10.97,57.74,47.82,65.08,75.43,51.8,49.42,45.99,13.57,8.21,39.01,53.38,60.02,21.24,40.42,45.66,46.15,82.08,44.24,21.43,33.38,10.27,5.26,16.42,39.44,39.44,45.08,58.65,47.08,48.43,44.45,68.19,11.82,69.15,59.61,16.43,49.42,42.32,25.18,39.44,71.51,5.4,51.8,75.43,39.06,81.24,18.19,18.21,57.34,86.59,39.01,38.66,45.66,5.26,42.66,45.13,16.23,79.74,50.15,17.71,45.18,44.76,44.26,31.27,46.36,5.51,5.51,46.89,53.38,18.21,49.28,61.25,17.71,49.28,49.42,18.21,43.83,74.05,45.13,13.57,10.41,44.26,5.4,47.08,40.49,68.19,44.27,44.26,7.26,47.82,45.13,31.27,46.46,52.91,52.91,50.15,40.49,9.23,63.19,40.49,53.66,31.27,20.88,21.98
Azougue Fogo e Bar,40.37,13.76,8.74,6.98,61.25,49.28,0.0,4.37,69.29,23.99,56.88,55.41,57.26,64.89,68.64,66.45,55.58,34.68,55.07,49.72,50.4,69.83,14.39,58.0,54.15,2.89,16.78,13.14,51.77,48.13,13.99,73.02,51.32,37.2,9.88,41.16,41.65,36.73,11.12,37.38,39.28,55.78,53.52,52.24,14.05,14.05,21.92,15.89,40.41,35.99,14.45,70.27,54.18,68.34,53.43,48.69,16.78,32.24,51.11,14.05,73.92,52.47,2.89,54.15,13.4,35.89,39.77,42.59,33.59,64.77,13.99,13.27,41.16,53.52,17.46,20.15,37.82,57.92,34.68,60.2,81.35,5.35,12.25,54.35,39.69,53.28,53.28,7.72,73.02,42.59,0.0,55.07,60.2,0.0,16.78,42.59,18.62,52.77,20.15,51.77,64.68,12.25,52.47,40.41,11.34,70.27,18.41,12.25,50.67,14.39,20.15,54.35,23.99,30.41,30.41,34.68,11.34,56.88,64.89,11.34,66.45,54.35,43.43,52.9
Baiuca,37.29,13.93,8.22,4.33,58.17,46.2,4.37,0.0,70.13,22.88,54.4,52.94,54.79,65.73,69.48,67.29,56.42,35.38,55.91,50.56,47.92,70.68,13.28,58.84,54.99,6.64,14.84,11.2,50.18,45.65,12.06,73.86,52.16,34.72,9.19,39.22,39.71,37.58,9.18,34.91,37.34,53.31,51.05,49.77,12.12,12.12,20.81,13.95,38.47,36.68,12.51,71.11,51.7,69.18,54.27,47.1,14.84,31.13,49.17,12.12,72.34,50.0,6.64,54.99,11.46,36.73,37.3,40.11,21.45,65.62,12.06,11.33,39.22,51.05,16.35,19.04,35.34,58.77,35.38,58.26,48.56,4.66,10.31,52.42,37.76,50.8,50.8,7.03,73.86,40.11,3.5,55.91,58.26,3.5,14.84,40.11,17.52,53.61,19.04,50.18,63.1,10.31,50.0,38.47,9.4,71.11,17.3,10.31,48.19,13.28,19.04,52.42,22.88,28.47,28.47,35.38,9.4,54.4,65.73,9.4,67.29,52.42,41.49,50.96
Bar Bambú,48.28,31.81,37.06,46.12,40.86,57.19,69.29,70.13,0.0,65.28,67.22,65.76,67.61,17.6,52.59,15.7,26.34,65.81,23.39,23.59,60.74,2.14,48.48,27.22,37.56,78.55,29.03,36.28,65.8,58.48,36.6,3.96,22.16,47.54,57.07,14.43,16.63,44.22,41.24,47.73,21.52,46.44,49.86,62.59,40.38,40.38,49.09,34.36,14.92,64.09,37.18,18.02,64.52,17.43,21.75,62.72,29.03,61.14,31.52,40.38,87.17,62.82,78.55,37.56,37.76,43.37,50.12,50.0,33.05,48.72,36.6,39.59,14.43,49.86,46.68,49.14,48.16,41.87,65.81,40.6,12.13,45.24,37.91,22.62,11.7,51.52,51.52,44.78,3.96,50.0,44.25,23.39,40.6,44.25,29.03,50.0,47.84,36.18,49.14,65.8,78.71,37.91,62.82,14.92,38.6,18.02,48.28,37.91,61.01,48.48,49.14,22.62,65.28,14.3,14.3,65.81,38.6,67.22,17.6,38.6,15.7,22.62,47.83,33.3
Bar Bendita Baderna,30.38,25.98,19.63,17.76,61.59,46.46,23.99,22.88,65.28,0.0,43.56,54.55,44.22,57.5,97.24,60.44,70.99,14.55,51.17,51.45,37.19,53.54,10.65,46.34,82.21,26.76,31.44,28.0,32.62,37.11,23.64,56.72,50.06,32.19,22.75,52.44,52.93,61.99,28.45,32.37,52.7,52.81,50.55,49.27,21.25,21.25,5.96,40.66,53.83,15.85,26.46,62.5,35.67,63.47,49.22,29.55,31.44,12.98,56.54,21.25,49.73,46.04,26.76,82.21,23.03,61.14,33.44,36.9,39.35,93.37,23.64,20.47,52.44,50.55,6.45,6.17,34.84,86.52,14.55,62.0,63.92,21.45,26.27,59.78,53.11,50.3,50.3,19.23,56.72,36.9,24.22,51.17,62.0,24.22,31.44,36.9,5.68,80.83,6.17,32.62,45.54,26.27,46.04,53.83,26.96,62.5,9.4,26.27,47.69,10.65,6.17,59.78,0.0,41.71,41.71,14.55,26.96,43.56,57.5,26.96,60.44,59.78,40.52,58.32
Bar da Cíntia,17.85,53.44,47.08,50.01,21.56,9.23,56.88,54.4,67.22,43.56,0.0,10.01,1.22,68.15,95.42,58.62,69.17,44.01,66.22,66.42,12.95,62.7,50.19,70.04,80.39,56.76,54.39,50.95,19.67,13.81,43.98,58.34,64.98,26.21,45.38,50.62,51.11,87.04,49.2,26.39,38.34,16.79,11.79,22.02,44.4,44.4,45.57,63.61,52.04,42.29,49.41,73.15,12.44,74.11,64.57,17.98,54.39,38.39,31.71,44.4,65.37,4.96,56.76,80.39,44.02,86.2,23.15,23.17,62.3,91.55,43.98,43.62,50.62,11.79,44.14,46.16,21.19,84.7,44.01,21.55,52.6,49.72,49.22,40.82,51.32,12.04,12.04,51.85,58.34,23.17,54.24,66.22,21.55,54.24,54.39,23.17,45.43,79.01,46.16,19.67,3.18,49.22,4.96,52.04,45.45,73.15,45.75,49.22,16.0,50.19,46.16,40.82,42.53,57.87,57.87,44.01,45.45,0.0,68.15,45.45,58.62,40.82,25.84,28.5
Bar da Fia,16.39,51.97,45.62,48.54,14.61,5.5,55.41,52.94,65.76,54.55,10.01,0.0,11.12,64.96,92.23,55.43,65.98,51.92,63.03,63.23,14.17,59.51,49.59,66.85,77.2,53.57,51.2,47.76,16.78,11.42,40.79,46.18,61.8,23.02,42.19,47.43,47.92,83.85,46.01,23.2,37.66,6.78,1.77,19.22,41.21,41.21,46.85,60.42,37.85,50.2,46.22,69.96,15.02,70.93,61.38,19.65,51.2,47.25,21.69,41.21,73.28,9.03,53.57,77.2,40.83,83.01,19.96,19.98,59.11,88.36,40.79,40.43,47.43,1.77,44.44,46.9,18.0,81.51,51.92,14.22,41.68,46.53,46.03,27.77,48.13,2.02,2.02,48.66,46.18,19.98,51.05,63.03,14.22,51.05,51.2,19.98,45.6,75.82,46.9,16.78,11.18,46.03,9.03,37.85,42.26,69.96,46.04,46.03,4.61,49.59,46.9,27.77,51.39,54.68,54.68,51.92,42.26,10.0,64.96,42.26,55.43,27.77,22.65,18.49
Bar da Lu,18.24,53.82,47.47,50.39,22.67,10.19,57.26,54.79,67.61,44.22,1.22,11.12,0.0,69.31,96.58,59.78,70.33,42.88,67.38,67.58,12.97,63.86,49.07,71.2,81.55,57.92,55.55,52.11,18.55,14.97,45.14,59.5,66.14,27.37,46.54,51.78,52.27,88.2,50.36,27.55,39.5,18.49,13.48,23.18,45.56,45.56,44.44,64.77,53.2,41.16,50.57,74.31,11.94,75.27,65.73,16.85,55.55,37.27,33.4,45.56,64.24,6.12,57.92,81.55,45.18,87.36,24.31,24.33,63.46,92.71,45.14,44.78,51.78,13.48,43.02,45.03,22.35,85.86,42.88,25.93,53.76,50.88,50.38,41.98,52.48,13.73,13.73,53.01,59.5,24.33,55.4,67.38,25.93,55.4,55.55,24.33,44.3,80.17,45.03,18.55,4.91,50.38,6.12,53.2,46.61,74.31,44.62,50.38,17.16,49.07,45.03,41.98,41.41,59.03,59.03,42.88,46.61,3.07,69.31,46.61,59.78,41.98,27.0,30.2
Bar da Silvânia,54.29,36.33,41.58,50.63,64.91,63.19,64.89,65.73,17.6,57.5,68.15,64.96,69.31,0.0,35.65,15.43,15.26,75.64,16.51,16.71,70.56,32.2,51.64,19.9,31.24,72.23,32.19,36.48,75.62,68.3,39.76,24.11,15.28,57.37,44.97,34.78,29.02,37.9,44.4,57.55,42.94,75.95,73.69,72.41,43.54,43.54,52.25,37.52,44.07,73.92,40.34,5.38,74.34,6.84,14.87,72.54,32.19,61.21,58.6,43.54,97.0,72.64,72.23,31.24,40.92,37.05,59.94,59.82,36.21,31.78,39.76,42.75,34.78,73.69,49.84,52.3,57.99,26.1,75.64,67.69,28.5,48.4,41.07,42.31,37.68,73.44,73.44,47.94,24.11,59.82,44.45,16.51,67.69,44.45,32.19,59.82,51.0,29.86,52.3,75.62,88.54,41.07,72.64,44.07,41.76,5.38,51.44,41.07,70.83,51.64,52.3,42.31,55.43,25.13,25.13,75.64,41.76,77.05,0.0,41.76,15.43,42.31,57.66,60.38
